2017/10/18 20:55:27 [error] 3868#8360: *550 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/build.js HTTP/1.1", upstream: "http://[::1]:8081/dist/build.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:56:18 [error] 3868#8360: *565 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:56:36 [error] 3868#8360: *748 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/css/bootstrap.min.css HTTP/1.1", upstream: "http://[::1]:8081/src/assets/css/bootstrap.min.css", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:56:49 [error] 3868#8360: *748 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/js/bootstrap.min.js HTTP/1.1", upstream: "http://[::1]:8081/src/assets/js/bootstrap.min.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:57:20 [error] 3868#8360: *755 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.a17d06b11e0956bec538.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.a17d06b11e0956bec538.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:59:12 [error] 3868#8360: *806 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.8eff29e38f6dff03d4b6.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.8eff29e38f6dff03d4b6.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:59:24 [error] 3868#8360: *823 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/bg01.png?3c9c9ad01ff32066cb0ec8d3bc9b683c HTTP/1.1", upstream: "http://[::1]:8081/dist/bg01.png?3c9c9ad01ff32066cb0ec8d3bc9b683c", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:59:42 [error] 3868#8360: *823 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.75cadf18ec0dc201248e.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.75cadf18ec0dc201248e.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:00:04 [error] 3868#8360: *808 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.6194aa1922adfea1764a.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.6194aa1922adfea1764a.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:00:33 [error] 3868#8360: *823 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.57a36d3e6a8879cd6938.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.57a36d3e6a8879cd6938.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:00:49 [error] 3868#8360: *850 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/js/bootstrap.min.js HTTP/1.1", upstream: "http://[::1]:8081/src/assets/js/bootstrap.min.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:01:06 [error] 3868#8360: *823 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.56e6a982fd62c4733a49.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.56e6a982fd62c4733a49.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:01:26 [error] 3868#8360: *850 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.7af1da1ec4d6e2d19a41.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.7af1da1ec4d6e2d19a41.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:02:04 [error] 3868#8360: *823 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.3f5d5ab8c1cd6ab6a0ac.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.3f5d5ab8c1cd6ab6a0ac.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:02:40 [error] 3868#8360: *851 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.8d698b7d170960e91495.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.8d698b7d170960e91495.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:03:08 [error] 3868#8360: *851 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 21:04:30 [error] 3868#8360: *893 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/a295a88b41d951b9db99.hot-update.json HTTP/1.1", upstream: "http://[::1]:8081/dist/a295a88b41d951b9db99.hot-update.json", host: "localhost:82", referrer: "http://localhost:82/"
